Name	Length	Identity	Relative length	Strand
250	10000	99.91007	99.92006	+
251	10000	99.91004	99.98000	+
252	10000	99.90002	100.03001	+
253	10000	99.92002	100.00000	+
254	10000	99.83029	99.83029	+
255	10000	99.89009	99.94004	+
256	10000	99.94002	100.00000	+
257	10000	99.91008	99.91008	+
258	10000	99.96002	99.96002	+
259	10000	99.96001	99.98000	+
26	10000	99.97001	99.99000	+
260	10000	99.92003	100.00000	+
261	10000	99.90009	99.92006	+
262	10000	99.86014	99.93005	+
263	10000	99.92006	99.94004	+
264	10000	99.95002	99.97001	+
265	10000	99.90008	99.94004	+
266	10000	99.86017	99.90010	+
267	10000	99.93003	99.97001	+
268	10000	99.92006	99.93005	+
269	10000	99.91006	99.95002	+
27	10000	99.89010	99.93005	+
270	10000	99.89010	99.93005	+
271	10000	99.93003	99.98000	+
272	10000	99.91007	99.93005	+
273	10000	99.88011	99.92006	+
274	10000	99.85015	99.94004	+
275	10000	99.84022	99.88014	+
276	10000	99.89007	99.98000	+
277	10000	99.97001	99.98000	+
278	10000	99.86015	99.91008	+
279	10000	99.95001	99.99000	+
28	10000	99.96000	100.04002	+
280	10000	99.89005	99.97001	+
281	10000	99.93005	99.93005	+
282	10000	99.95002	99.95002	+
283	10000	99.94002	99.98000	+
284	10000	99.92005	99.96002	+
285	10000	99.92006	99.94004	+
286	10000	99.90009	99.92006	+
287	10000	99.91007	99.92006	+
288	10000	99.90009	99.92006	+
289	10000	99.93003	99.95002	+
29	10000	99.95002	99.97001	+
290	10000	99.89011	99.91008	+
291	10000	99.91006	99.95002	+
292	10000	99.93001	100.00000	+
293	10000	99.93004	99.95002	+
294	10000	99.91004	99.99000	+
295	10000	99.89011	99.91008	+
296	10000	99.91004	99.96002	+
297	10000	99.91007	99.92006	+
298	10000	99.87010	99.95002	+
299	10000	99.92006	99.94004	+
3	10000	99.95002	99.95002	+
30	10000	99.91006	99.95002	+
300	10000	99.88012	99.92006	+
301	10000	99.94002	99.97001	+
302	10000	99.88014	99.88014	+
303	10000	99.92006	99.92006	+
304	10000	99.84019	99.90010	+
305	10000	99.90009	99.92006	+
306	10000	99.93003	99.95002	+
307	10000	99.91007	99.93005	+
308	10000	99.90008	99.92006	+
309	10000	99.94994	99.98999	+
31	10000	99.93003	99.99000	+
310	10000	99.87012	99.94004	+
311	10000	99.89011	99.91008	+
312	10000	99.92005	99.95002	+
313	10000	99.84016	99.93005	+
314	10000	99.93004	99.95002	+
315	10000	99.94003	99.95002	+
316	10000	99.90009	99.92006	+
317	10000	99.88012	99.91008	+
318	10000	99.91006	99.95002	+
319	10000	99.92006	99.94004	+
32	10000	99.96001	99.98000	+
320	10000	99.91006	99.95002	+
321	10000	99.89010	99.93005	+
322	10000	99.88011	99.94004	+
323	10000	99.90009	99.92006	+
324	10000	99.90007	99.96002	+
325	10000	99.96002	99.96002	+
326	10000	99.92006	99.94004	+
327	10000	99.86017	99.90010	+
328	10000	99.93003	99.96002	+
329	10000	99.90009	99.92006	+
33	10000	99.89010	99.91008	+
330	10000	99.89010	99.92006	+
331	10000	99.82025	99.89012	+
332	10000	99.97001	99.97001	+
333	10000	99.84018	99.92006	+
334	10000	99.90009	99.92006	+
335	10000	99.89009	99.94004	+
336	10000	99.91998	99.91998	+
337	10000	99.86013	99.95002	+
338	10000	99.88012	99.90010	+
339	10000	99.89008	99.94004	+
34	10000	99.91007	99.93005	+
340	10000	99.90009	99.92006	+
341	10000	99.88011	99.93005	+
342	10000	99.86017	99.89012	+
343	10000	99.94004	99.94004	+
344	10000	99.96002	99.96002	+
345	10000	99.91008	99.91008	+
346	10000	99.95001	99.98000	+
347	10000	99.94004	99.94004	+
348	10000	99.94003	99.96002	+
349	10000	99.88007	99.96002	+
35	10000	99.91007	99.92006	+
350	10000	99.89005	99.98000	+
351	10000	99.92006	99.93005	+
352	10000	99.91006	99.94004	+
353	10000	99.94004	99.94004	+
354	10000	99.89011	99.91008	+
355	10000	99.89011	99.91008	+
356	10000	99.93004	99.95002	+
357	10000	99.87009	99.96002	+
358	10000	99.94004	99.94004	+
359	10000	99.93003	99.97001	+
36	10000	99.96001	99.99000	+
360	10000	99.92006	99.92006	+
361	10000	99.94003	99.96002	+
362	10000	99.91005	99.94004	+
363	10000	99.92006	99.92006	+
364	10000	99.92006	99.93005	+
365	10000	99.92005	99.96002	+
366	10000	99.91007	99.93005	+
367	10000	99.93004	99.94004	+
368	10000	99.88013	99.90010	+
369	10000	99.94003	99.95002	+
37	10000	99.94002	99.98000	+
370	10000	99.95002	99.95002	+
371	10000	99.89010	99.92006	+
372	10000	99.92003	99.98000	+
373	10000	99.84021	99.88014	+
374	10000	99.95002	99.97001	+
375	10000	99.96002	99.96002	+
376	10000	99.95001	100.01000	+
377	10000	99.88010	99.93005	+
378	10000	99.92005	99.96002	+
379	10000	99.98000	99.98000	+
38	10000	99.95002	99.97001	+
380	10000	99.89012	99.89012	+
381	10000	99.92005	99.96002	+
382	10000	99.93004	99.95002	+
383	10000	99.86018	99.88014	+
384	10000	99.92005	99.96002	+
385	10000	99.93003	99.96002	+
386	10000	99.96001	99.99000	+
387	10000	99.94003	99.95002	+
388	10000	99.91007	99.92006	+
389	10000	99.95002	99.97001	+
39	10000	99.92005	99.95002	+
390	10000	99.93004	99.95002	+
391	10000	99.90009	99.92006	+
392	10000	99.90009	99.92006	+
393	10000	99.90007	99.96002	+
394	10000	99.89012	99.89012	+
395	10000	99.92006	99.92006	+
396	10000	99.89009	99.95002	+
397	10000	99.94003	99.96002	+
398	10000	99.93003	99.95002	+
399	10000	99.90008	99.92006	+
4	10000	99.87992	99.96997	+
40	10000	99.91006	99.94004	+
400	10000	99.88013	99.90010	+
401	10000	99.93001	100.02000	+
402	10000	99.94003	99.96002	+
403	10000	99.87013	99.93005	+
404	10000	99.98000	99.98000	+
405	10000	99.93999	99.95999	+
406	10000	99.89009	99.93005	+
407	10000	99.96001	99.98000	+
408	10000	99.93003	99.96002	+
409	10000	99.91006	99.95002	+
41	10000	99.91008	99.91008	+
410	10000	99.92005	99.96002	+
411	10000	99.93003	99.97001	+
412	10000	99.93002	99.97001	+
413	10000	99.95002	99.97001	+
414	10000	99.89011	99.91008	+
415	10000	99.95001	100.01000	+
416	10000	99.94002	99.97001	+
417	10000	99.89009	99.95002	+
418	10000	99.92006	99.94004	+
419	10000	99.95002	99.96002	+
42	10000	99.93003	99.97001	+
420	10000	99.94004	99.94004	+
421	10000	99.95002	99.96002	+
422	10000	99.86014	99.91008	+
423	10000	99.91004	99.98000	+
424	10000	99.93004	99.95002	+
425	10000	99.83027	99.84026	+
426	10000	99.93003	99.96002	+
427	10000	99.92005	99.94004	+
428	10000	99.95002	99.95002	+
429	10000	99.85013	99.97001	+
43	10000	99.99000	99.99000	+
430	10000	99.88011	99.93005	+
431	10000	99.94002	99.97001	+
432	10000	99.92001	99.94000	+
433	10000	99.94003	99.96002	+
434	10000	99.88012	99.90010	+
435	10000	99.95002	99.97001	+
436	10000	99.88010	99.96002	+
437	10000	99.94003	99.96002	+
438	10000	99.90006	99.96002	+
439	10000	99.93004	99.94004	+
44	10000	99.92004	99.98000	+
440	10000	99.92005	99.94004	+
441	10000	99.93003	99.99000	+
442	10000	99.97000	100.01000	+
443	10000	99.93003	99.96002	+
444	10000	99.91007	99.93005	+
445	10000	99.85018	99.90010	+
446	10000	99.91008	99.91008	+
447	10000	99.88011	99.94004	+
448	10000	99.92005	99.96002	+
449	10000	99.91004	100.00000	+
45	10000	99.90008	99.94004	+
450	10000	99.86018	99.87017	+
451	10000	99.94002	99.97001	+
452	10000	99.92006	99.92006	+
453	10000	99.91006	99.95002	+
454	10000	99.87017	99.87017	+
455	10000	99.94003	99.95002	+
456	10000	99.94004	99.94004	+
457	10000	99.91007	99.92006	+
458	10000	99.94003	99.96002	+
459	10000	99.95002	99.95002	+
46	10000	99.88002	99.99000	+
460	10000	99.88011	99.93005	+
461	10000	99.90007	99.95002	+
462	10000	99.88011	99.93005	+
463	10000	99.94002	99.96002	+
464	10000	99.97001	99.98000	+
465	10000	99.91003	99.99000	+
466	10000	99.88981	99.92987	+
467	10000	99.93003	99.98000	+
468	10000	99.90006	99.96002	+
469	10000	99.94003	99.96002	+
47	10000	99.82981	99.94994	+
470	10000	99.94002	99.99000	+
471	10000	99.93005	99.93005	+
472	10000	99.92004	99.97001	+
473	10000	99.91006	99.95002	+
474	10000	99.96001	99.98000	+
475	10000	99.89012	99.89012	+
476	10000	99.94003	99.96002	+
477	10000	99.94002	100.00000	+
478	10000	99.90010	99.90010	+
479	10000	99.91007	99.93005	+
48	10000	99.95002	99.95002	+
480	10000	99.91006	99.95002	+
481	10000	99.95001	99.98000	+
482	10000	99.90007	99.95002	+
483	10000	99.93005	99.93005	+
484	10000	99.93005	99.93005	+
485	10000	99.91006	99.94004	+
486	10000	99.93003	99.99000	+
487	10000	99.87010	99.93005	+
488	10000	99.94002	99.98000	+
489	10000	99.89010	99.93005	+
49	10000	99.94003	99.96002	+
490	10000	99.88011	99.94004	+
491	10000	99.94004	99.94004	+
492	10000	99.84026	99.84026	+
493	10000	99.89009	99.95002	+
494	10000	99.95002	99.96002	+
495	10000	99.91008	99.91008	+
496	10000	99.90007	99.95002	+
497	10000	99.92005	99.94004	+
498	10000	99.91004	99.96002	+
499	10000	99.87013	99.93005	+
5	10000	99.87014	99.91008	+
50	10000	99.94002	99.99000	+
500	10000	99.91005	99.97001	+
501	10000	99.94003	99.96002	+
502	10000	99.96001	100.00000	+
503	10000	99.88014	99.88014	+
504	10000	99.87013	99.93005	+
505	10000	99.90010	99.90010	+
506	10000	99.94002	99.98000	+
507	10000	99.92983	99.96992	+
508	10000	99.97001	99.99000	+
509	10000	99.87014	99.90010	+
51	10000	99.98000	100.00000	+
510	10000	99.87013	99.92006	+
52	10000	99.93003	99.96002	+
53	10000	99.91005	99.95002	+
54	10000	99.92006	99.92006	+
55	10000	99.94002	100.00000	+
56	10000	99.90008	99.94004	+
57	10000	99.98000	100.00000	+
58	10000	99.92006	99.93005	+
59	10000	99.94002	99.96002	+
6	10000	99.97001	99.97001	+
60	10000	99.94002	99.98000	+
61	10000	99.95002	99.95002	+
62	10000	99.93004	99.95002	+
63	10000	99.95001	100.00000	+
64	10000	99.94004	99.94004	+
65	10000	99.93003	99.95002	+
66	10000	99.94002	99.98000	+
67	10000	99.90004	100.02000	+
68	10000	99.88008	99.95002	+
69	10000	99.86015	99.91008	+
7	10000	99.87013	99.93005	+
70	10000	99.87012	99.93005	+
71	10000	99.91005	99.94004	+
72	10000	99.95002	99.95002	+
73	10000	99.93004	99.94004	+
74	10000	99.91997	99.93997	+
75	10000	99.94003	99.96002	+
76	10000	99.87013	99.91008	+
77	10000	99.93005	99.93005	+
78	10000	99.92005	99.96002	+
79	10000	99.91008	99.91008	+
8	10000	99.94002	100.00000	+
80	10000	99.92006	99.93005	+
81	10000	99.95002	99.97001	+
82	10000	99.97001	99.99000	+
83	10000	99.92005	99.96002	+
84	10000	99.95001	100.00000	+
85	10000	99.84013	99.93005	+
86	10000	99.91007	99.92006	+
87	10000	99.97001	99.99000	+
88	10000	99.95001	99.99000	+
89	10000	99.94001	100.00000	+
9	10000	99.93002	100.00000	+
90	10000	99.94002	99.97001	+
91	10000	99.91007	99.93005	+
92	10000	99.93003	99.97001	+
93	10000	99.90009	99.91008	+
94	10000	99.96001	99.98000	+
95	10000	99.97001	99.97001	+
96	10000	99.94996	99.98999	+
97	10000	99.92006	99.94004	+
98	10000	99.89004	99.97001	+
99	10000	99.92005	99.96002	+
